nom;disp_j;disp_h;lat_coor1;long_coor1;adr_num;adr_voie;disp_complt;date_instal;modele;dermnt;expt_siren;objectid;id;identifiant;gestionnaire;activite;quartier;type;echeance_pile;echeance_adulte;echeance_pediatrique
DAE-Espace Landowski;mardi|mercredi|jeudi|vendredi|samedi|dimanche;heures ouvrables;48.83669662475586;2.237072467803955;28;avenue André-Morizet;remplacé le 28/02/17;2017-01-01;Power heart G5;2020-07-10;219200128;8;8;D00000047684;Ville de Boulogne-Billancourt;Culture;5;Etablissement Public;2021-02-28;2021-05-28;2021-08-28
DAE-Gymnase Couchot;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.8318905;2.2331075;6;rue Couchot;;2010-01-01;Medtronic;2020-07-10;219200128;12;12;38518781;Ville de Boulogne-Billancourt;Salle de sport;2;Etablissement Public;2022-01-01;2021-03-08;2020-11-30
DAE-Gymnase Maître-Jacques;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.8394771;2.2438991;4;rue Maître-Jacques;volé en avril 2017 / en commande;2018-01-01;Zoll;2020-07-10;219200128;16;16;X17K976737;Ville de Boulogne-Billancourt;Salle de sport;6;Etablissement Public;2022-01-01;2023-02-03;2021-11-16
DAE-Gymnase Paul Bert;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.833435398361715;2.239627711107751;9;rue Paul-Bert;;2010-01-01;CR PLUS;2020-07-10;219200128;18;18;42270197;Ville de Boulogne-Billancourt;Complexe sportif;2;Etablissement Public;2021-03-08;2021-03-08;2020-11-30
DAE-Local d'activités associatives;lundi|mardi|mercredi|jeudi|vendredi;heures ouvrables;48.829559;2.234659;63;allée du Forum;;;;2020-07-10;219200128;24;24;;Ville de Boulogne-Billancourt;Local d'activités associatives;4;Etablissement Public;;;
DAE-Stade Le Gallo;lundi|mardi|mercredi|jeudi|vendredi|samedi|dimanche;heures ouvrables;48.8259259;2.2003237;28;rue de Sèvres;;2017-01-01;Power heart G5;2020-07-10;219200128;31;31;D00000061390;Ville de Boulogne-Billancourt;Terrain découvert;2;Etablissement Public;2021-09-21;2022-04-28;
DAE-Mobilier urbain angle rue Gallieni / rue de la Saussière;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.8375866;2.2480272;;;;;;2020-07-10;219200128;34;998;;Decaux;Mobilier urbain;5;Mobilier Urbain;;;
DAE-Coubertin;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.8347415;2.2553506;;Coubertin;;;;2020-07-10;219200128;39;993;;Decaux;Station de métro;4;Mobilier Urbain;;;
DAE-Elémentaire Silly;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8394127;2.2320812;29;rue de SIlly;;2018-01-01;Zoll;2020-07-10;219200128;1298;37;X17L983601;Ville de Boulogne-Billancourt;Ecole élémentaire;2;Etablissement Public;2022-01-01;2023-04-06;2021-10-26
DAE-Élémentaire Maitre Jacques;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8394771;2.2438991;4;rue Maître Jacques;;2018-01-01;Zoll;2020-07-10;219200128;1605;42;X18A988163;Ville de Boulogne-Billancourt;Ecole élémentaire;6;Etablissement Public;2022-01-01;2023-04-13;2021-10-26
DAE-Maternelle Gallieni;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8259259;2.2003237;36bis;rue de Sèvres;;2018-01-01;Zoll;2020-07-10;219200128;1605;44;X17K976773;Ville de Boulogne-Billancourt;Ecole maternelle;2;Etablissement Public;2022-01-01;2023-04-04;2021-11-28
